Day,Day_month,Month,Year,TSVALUE_UPDATED,,
15,15-Jun,Jun,1957,0,,
16,16-Jun,Jun,1957,47,,
17,17-Jun,Jun,1957,22,,
18,18-Jun,Jun,1957,4,,
19,19-Jun,Jun,1957,98,,
20,20-Jun,Jun,1957,4,,
21,21-Jun,Jun,1957,33,,
22,22-Jun,Jun,1957,9,,
23,23-Jun,Jun,1957,14,,
24,24-Jun,Jun,1957,38,,
25,25-Jun,Jun,1957,34,,
26,26-Jun,Jun,1957,24,,
27,27-Jun,Jun,1957,7,,
28,28-Jun,Jun,1957,5,,
29,29-Jun,Jun,1957,28,,
30,30-Jun,Jun,1957,34,,
01,01-Jul,Jul,1957,41,,
02,02-Jul,Jul,1957,3,,
03,03-Jul,Jul,1957,1,,
04,04-Jul,Jul,1957,7,,
05,05-Jul,Jul,1957,30,,
06,06-Jul,Jul,1957,8,,
07,07-Jul,Jul,1957,1,,
08,08-Jul,Jul,1957,2,,
09,09-Jul,Jul,1957,39,,
10,10-Jul,Jul,1957,63,,
11,11-Jul,Jul,1957,20,,
12,12-Jul,Jul,1957,20,,
13,13-Jul,Jul,1957,42,,
14,14-Jul,Jul,1957,1,,
15,15-Jul,Jul,1957,9,,
16,16-Jul,Jul,1957,10,,
17,17-Jul,Jul,1957,28,,
18,18-Jul,Jul,1957,18,,
19,19-Jul,Jul,1957,4,,
20,20-Jul,Jul,1957,14,,
21,21-Jul,Jul,1957,15,,
22,22-Jul,Jul,1957,9,,
23,23-Jul,Jul,1957,32,,
24,24-Jul,Jul,1957,19,,
25,25-Jul,Jul,1957,1,,
26,26-Jul,Jul,1957,6,,
27,27-Jul,Jul,1957,0,,
28,28-Jul,Jul,1957,0,,
29,29-Jul,Jul,1957,2,,
30,30-Jul,Jul,1957,2,,
31,31-Jul,Jul,1957,0,,
01,01-Aug,Aug,1957,0,,
02,02-Aug,Aug,1957,71,,
03,03-Aug,Aug,1957,14,,
04,04-Aug,Aug,1957,33,,
05,05-Aug,Aug,1957,97,,
06,06-Aug,Aug,1957,25,,
07,07-Aug,Aug,1957,10,,
08,08-Aug,Aug,1957,1,,
09,09-Aug,Aug,1957,29,,
10,10-Aug,Aug,1957,15,,
11,11-Aug,Aug,1957,0,,
12,12-Aug,Aug,1957,2,,
13,13-Aug,Aug,1957,0,,
14,14-Aug,Aug,1957,31,,
15,15-Aug,Aug,1957,89,,
16,16-Aug,Aug,1957,1,,
17,17-Aug,Aug,1957,7,,
18,18-Aug,Aug,1957,56,,
19,19-Aug,Aug,1957,0,,
20,20-Aug,Aug,1957,0,,
21,21-Aug,Aug,1957,0,,
22,22-Aug,Aug,1957,0,,
23,23-Aug,Aug,1957,0,,
24,24-Aug,Aug,1957,9,,
25,25-Aug,Aug,1957,2,,
26,26-Aug,Aug,1957,25,,
27,27-Aug,Aug,1957,1,,
28,28-Aug,Aug,1957,6,,
29,29-Aug,Aug,1957,0,,
30,30-Aug,Aug,1957,0,,
31,31-Aug,Aug,1957,0,,
01,01-Sep,Sep,1957,2,,
02,02-Sep,Sep,1957,11,,
03,03-Sep,Sep,1957,2,,
04,04-Sep,Sep,1957,30,,
05,05-Sep,Sep,1957,9,,
06,06-Sep,Sep,1957,12,,
07,07-Sep,Sep,1957,9,,
08,08-Sep,Sep,1957,6,,
09,09-Sep,Sep,1957,0,,
10,10-Sep,Sep,1957,59,,
11,11-Sep,Sep,1957,6,,
12,12-Sep,Sep,1957,0,,
13,13-Sep,Sep,1957,21,,
14,14-Sep,Sep,1957,0,,
15,15-Sep,Sep,1957,0,,
16,16-Sep,Sep,1957,0,,
17,17-Sep,Sep,1957,19,,
18,18-Sep,Sep,1957,54,,
19,19-Sep,Sep,1957,1,,
20,20-Sep,Sep,1957,0,,
21,21-Sep,Sep,1957,0,,
22,22-Sep,Sep,1957,0,,
23,23-Sep,Sep,1957,11,,
24,24-Sep,Sep,1957,11,,
25,25-Sep,Sep,1957,6,,
26,26-Sep,Sep,1957,39,,
27,27-Sep,Sep,1957,4,,
28,28-Sep,Sep,1957,3,,
29,29-Sep,Sep,1957,0,,
30,30-Sep,Sep,1957,0,,
01,01-Oct,Oct,1957,0,,
02,02-Oct,Oct,1957,0,,
03,03-Oct,Oct,1957,5,,
04,04-Oct,Oct,1957,0,,
05,05-Oct,Oct,1957,63,,
06,06-Oct,Oct,1957,24,,
07,07-Oct,Oct,1957,4,,
08,08-Oct,Oct,1957,17,,
09,09-Oct,Oct,1957,0,,
10,10-Oct,Oct,1957,0,,
11,11-Oct,Oct,1957,0,,
12,12-Oct,Oct,1957,1,,
13,13-Oct,Oct,1957,0,,
14,14-Oct,Oct,1957,0,,
15,15-Oct,Oct,1957,0,,
16,16-Oct,Oct,1957,0,,
17,17-Oct,Oct,1957,2,,
18,18-Oct,Oct,1957,0,,
19,19-Oct,Oct,1957,13,,
20,20-Oct,Oct,1957,0,,
21,21-Oct,Oct,1957,0,,
22,22-Oct,Oct,1957,0,,
23,23-Oct,Oct,1957,0,,
24,24-Oct,Oct,1957,0,,
25,25-Oct,Oct,1957,0,,
26,26-Oct,Oct,1957,,,
27,27-Oct,Oct,1957,0,,
28,28-Oct,Oct,1957,0,,
