Day,Day_month,Month,Year,TSVALUE_UPDATED
6,6-Mar,Mar,1979,0
7,7-Mar,Mar,1979,0
8,8-Mar,Mar,1979,0
9,9-Mar,Mar,1979,0
10,10-Mar,Mar,1979,0
11,11-Mar,Mar,1979,0
12,12-Mar,Mar,1979,0
13,13-Mar,Mar,1979,0
14,14-Mar,Mar,1979,0
15,15-Mar,Mar,1979,0
16,16-Mar,Mar,1979,0
17,17-Mar,Mar,1979,0
18,18-Mar,Mar,1979,0
19,19-Mar,Mar,1979,0
20,20-Mar,Mar,1979,0
21,21-Mar,Mar,1979,0
22,22-Mar,Mar,1979,0
23,23-Mar,Mar,1979,0
24,24-Mar,Mar,1979,0
25,25-Mar,Mar,1979,0
26,26-Mar,Mar,1979,0
27,27-Mar,Mar,1979,0
28,28-Mar,Mar,1979,0
29,29-Mar,Mar,1979,0
30,30-Mar,Mar,1979,0
31,31-Mar,Mar,1979,0
1,1-Apr,Apr,1979,0
2,2-Apr,Apr,1979,0
3,3-Apr,Apr,1979,0
4,4-Apr,Apr,1979,0
5,5-Apr,Apr,1979,0
6,6-Apr,Apr,1979,0
7,7-Apr,Apr,1979,0
8,8-Apr,Apr,1979,0
9,9-Apr,Apr,1979,0
10,10-Apr,Apr,1979,0
11,11-Apr,Apr,1979,0
12,12-Apr,Apr,1979,0
13,13-Apr,Apr,1979,0
14,14-Apr,Apr,1979,0
15,15-Apr,Apr,1979,0
16,16-Apr,Apr,1979,0
17,17-Apr,Apr,1979,0
